mcc_code,cat_id,dist,count,clients
5013.0,1434.0,1,1,1
6533.0,316.0,1,1,1
5970.0,1434.0,2,1,1
5192.0,170.0,3,1,1
2791.0,556.0,4,1,1
5198.0,58.0,7,1,1
4829.0,776.0,8,1,1
8050.0,994.0,8,1,1
8398.0,1143.0,11,1,1
7641.0,770.0,14,1,1
5813.0,590.0,14,1,1
5099.0,1452.0,23,1,1
5943.0,232.0,24,1,1
5094.0,813.0,33,1,1
7991.0,1772.0,46,1,1
5992.0,415.0,51,1,1
5541.0,232.0,54,2,1
7379.0,606.0,60,1,1
5541.0,636.0,64,1,1
3503.0,531.0,67,1,1
6399.0,1097.0,68,1,1
8931.0,1771.0,69,1,1
5045.0,887.0,70,1,1
8220.0,264.0,72,1,1
7991.0,1357.0,74,1,1
3042.0,165.0,75,2,1
4812.0,894.0,80,1,1
3509.0,893.0,82,2,1
5811.0,1522.0,85,1,1
8099.0,232.0,100,1,1
6540.0,1522.0,101,1,1
4215.0,1143.0,102,1,1
7278.0,741.0,103,1,1
7832.0,1116.0,108,1,1
5732.0,1642.0,110,1,1
7221.0,928.0,112,1,1
5999.0,1666.0,135,1,1
3654.0,165.0,135,1,1
8249.0,437.0,137,1,1
3586.0,153.0,138,1,1
3530.0,65.0,138,1,1
3001.0,765.0,139,4,1
4812.0,1115.0,139,1,1
6399.0,928.0,145,1,1
3640.0,161.0,150,1,1
4816.0,1112.0,151,1,1
7230.0,1112.0,152,1,1
8931.0,1187.0,153,1,1
7251.0,1452.0,154,1,1
8211.0,13.0,156,1,1
5992.0,42.0,157,1,1
5994.0,579.0,160,1,1
7512.0,587.0,163,2,1
5599.0,1454.0,166,1,1
4816.0,1442.0,168,1,1
5621.0,908.0,171,1,1
5200.0,1198.0,174,1,1
8398.0,1642.0,175,1,1
8099.0,1073.0,176,1,1
3586.0,473.0,176,1,1
5983.0,1195.0,184,2,1
5735.0,587.0,186,2,1
6012.0,620.0,188,1,1
7395.0,1475.0,190,1,1
5699.0,1238.0,193,1,1
8351.0,58.0,210,1,1
1711.0,592.0,210,1,1
5963.0,526.0,211,1,1
7997.0,1159.0,212,1,1
7941.0,212.0,213,1,1
8931.0,1126.0,213,1,1
5039.0,65.0,213,1,1
3640.0,339.0,215,1,1
5964.0,1206.0,225,1,1
6536.0,13.0,233,20,1
5921.0,1121.0,235,5,1
5499.0,945.0,235,1,1
5139.0,775.0,237,1,1
5441.0,550.0,240,1,1
5973.0,480.0,243,1,1
5697.0,448.0,247,1,1
5621.0,1134.0,250,1,1
7523.0,998.0,252,1,1
7629.0,1361.0,276,1,1
5251.0,688.0,285,1,1
5251.0,134.0,289,7,1
5972.0,215.0,291,2,1
4111.0,1754.0,296,1,1
7211.0,284.0,302,1,1
5399.0,1230.0,304,1,1
7230.0,1504.0,305,1,1
2842.0,893.0,311,1,1
6536.0,11.0,312,1,1
5999.0,111.0,312,1,1
6399.0,688.0,312,1,1
5422.0,464.0,312,1,1
4121.0,1202.0,313,3,3
5722.0,532.0,313,1,1
5977.0,776.0,326,1,1
4789.0,170.0,328,3,1
6011.0,483.0,330,2,1
3206.0,503.0,342,5,1
4812.0,376.0,343,1,1
5199.0,473.0,345,1,1
3640.0,58.0,347,3,1
7622.0,1325.0,348,1,1
4112.0,802.0,358,1,1
5818.0,1116.0,360,1,1
3206.0,164.0,361,1,1
5085.0,891.0,363,1,1
6300.0,1392.0,364,1,1
5814.0,321.0,366,1,1
780.0,170.0,366,3,1
5198.0,1522.0,375,1,1
7342.0,460.0,376,1,1
7394.0,211.0,389,1,1
5921.0,1809.0,390,1,1
5571.0,763.0,396,1,1
7210.0,1126.0,399,1,1
5051.0,308.0,403,1,1
4225.0,13.0,403,2,1
5331.0,325.0,403,1,1
2791.0,503.0,408,1,1
5937.0,251.0,408,1,1
5131.0,1799.0,415,1,1
4011.0,1458.0,416,1,1
7531.0,1457.0,419,2,1
7996.0,1361.0,420,1,1
3504.0,164.0,425,1,1
4215.0,1317.0,426,1,1
4112.0,782.0,431,1,1
3011.0,170.0,432,1,1
5967.0,13.0,432,1,1
5399.0,1192.0,435,2,2
5691.0,151.0,443,1,1
9311.0,1460.0,447,1,1
4215.0,54.0,451,1,1
3553.0,592.0,456,1,1
1731.0,579.0,458,1,1
5718.0,13.0,461,1,1
3034.0,770.0,466,1,1
4131.0,1500.0,466,1,1
5045.0,1376.0,467,1,1
7841.0,1455.0,467,1,1
742.0,419.0,470,1,1
7999.0,1772.0,473,1,1
3047.0,314.0,480,1,1
5722.0,1179.0,486,1,1
5198.0,1187.0,489,1,1
5631.0,1819.0,492,1,1
5962.0,165.0,493,2,1
7999.0,532.0,498,1,1
7829.0,473.0,501,1,1
7333.0,460.0,504,1,1
6011.0,496.0,505,1,1
8050.0,164.0,507,1,1
7523.0,170.0,509,1,1
8931.0,889.0,513,1,1
5945.0,1176.0,517,1,1
7361.0,14.0,518,1,1
9222.0,1238.0,519,1,1
5046.0,488.0,520,1,1
4829.0,243.0,520,2,2
5814.0,536.0,524,1,1
7999.0,1455.0,525,3,1
4214.0,1376.0,529,1,1
6533.0,531.0,532,2,1
7841.0,184.0,540,1,1
7998.0,480.0,541,1,1
7349.0,1422.0,544,1,1
5719.0,42.0,545,1,1
5231.0,1110.0,546,3,1
5193.0,606.0,549,1,1
5045.0,13.0,550,1,1
5251.0,994.0,553,2,2
4215.0,1176.0,555,1,1
7230.0,1135.0,555,2,1
5813.0,1159.0,559,1,1
5950.0,1246.0,562,2,2
5993.0,1161.0,564,1,1
7542.0,1110.0,565,2,1
6211.0,1634.0,569,1,1
6011.0,1407.0,570,3,3
5949.0,487.0,570,1,1
8211.0,1457.0,571,1,1
7998.0,437.0,571,1,1
7211.0,465.0,572,1,1
7538.0,235.0,572,2,1
7538.0,908.0,572,1,1
8734.0,772.0,572,1,1
8641.0,339.0,572,1,1
4411.0,12.0,574,1,1
7692.0,1450.0,576,1,1
7995.0,217.0,577,1,1
6011.0,295.0,582,2,2
7393.0,153.0,583,1,1
5621.0,1357.0,597,2,2
5968.0,1634.0,598,1,1
5021.0,482.0,600,1,1
4131.0,1504.0,602,1,1
9399.0,1121.0,602,1,1
5681.0,448.0,607,2,1
6012.0,1115.0,608,1,1
6012.0,796.0,615,1,1
7996.0,235.0,620,1,1
3011.0,1456.0,622,1,1
9402.0,1504.0,623,1,1
5045.0,448.0,625,2,2
8931.0,794.0,627,1,1
8931.0,12.0,627,1,1
5542.0,1192.0,633,1,1
3501.0,25.0,638,1,1
7911.0,315.0,639,1,1
6051.0,1322.0,649,2,1
7998.0,58.0,659,2,2
8071.0,11.0,661,2,2
5932.0,1456.0,662,1,1
8699.0,466.0,665,1,1
5661.0,1116.0,665,1,1
7832.0,42.0,671,1,1
5811.0,1322.0,673,1,1
5331.0,568.0,676,1,1
7399.0,1274.0,677,1,1
5021.0,314.0,679,2,2
7995.0,1455.0,680,1,1
-1.0,225.0,683,1,1
5718.0,889.0,683,1,1
8299.0,1357.0,684,1,1
5713.0,1.0,685,1,1
7933.0,184.0,692,1,1
3047.0,1.0,694,1,1
7297.0,1434.0,694,1,1
5441.0,1185.0,694,1,1
7911.0,1392.0,694,4,1
1799.0,448.0,696,1,1
4582.0,1451.0,699,1,1
5971.0,740.0,702,1,1
3011.0,1422.0,702,1,1
8041.0,289.0,704,1,1
9311.0,1645.0,704,1,1
8398.0,384.0,706,1,1
7251.0,1106.0,707,1,1
5651.0,200.0,708,3,1
7299.0,520.0,711,1,1
6051.0,487.0,714,1,1
-1.0,1041.0,720,1,1
780.0,212.0,721,1,1
8931.0,13.0,723,1,1
7296.0,12.0,723,2,2
7997.0,327.0,731,1,1
8661.0,1282.0,732,1,1
7276.0,503.0,733,1,1
6538.0,533.0,735,2,1
5969.0,765.0,743,3,1
5621.0,1110.0,744,2,2
5714.0,1322.0,745,1,1
5970.0,556.0,750,1,1
6513.0,1097.0,752,1,1
7395.0,1434.0,752,1,1
3533.0,579.0,752,1,1
5172.0,414.0,757,1,1
7542.0,550.0,758,2,2
7395.0,19.0,771,1,1
5912.0,1161.0,773,1,1
7531.0,889.0,776,1,1
8043.0,253.0,777,2,2
